,Feature 1,Feature 2,Accuracy 1,Accuracy 2,Accuracy 3,Average Accuracy
112,service,dst_host_diff_srv_rate,0.6467661691542289,0.6517412935323383,0.6218905472636815,0.6401326699834162
67,protocol_type,same_srv_rate,0.6467661691542289,0.6766169154228856,0.5970149253731343,0.6401326699834162
113,service,dst_host_same_src_port_rate,0.6169154228855721,0.6616915422885572,0.6417910447761194,0.6401326699834162
173,src_bytes,is_host_login,0.6616915422885572,0.5920398009950248,0.6666666666666666,0.6401326699834162
711,serror_rate,same_srv_rate,0.6119402985074627,0.6467661691542289,0.6567164179104478,0.6384742951907132
27,duration,same_srv_rate,0.6467661691542289,0.6119402985074627,0.6567164179104478,0.6384742951907132
228,dst_bytes,dst_host_rerror_rate,0.6268656716417911,0.6318407960199005,0.6567164179104478,0.6384742951907132
191,src_bytes,dst_host_srv_serror_rate,0.6417910447761194,0.6567164179104478,0.6169154228855721,0.6384742951907131
723,serror_rate,dst_host_srv_rerror_rate,0.6318407960199005,0.6467661691542289,0.6368159203980099,0.6384742951907131
726,srv_serror_rate,srv_rerror_rate,0.6865671641791045,0.5870646766169154,0.6417910447761194,0.6384742951907131
175,src_bytes,count,0.5970149253731343,0.681592039800995,0.6318407960199005,0.63681592039801
223,dst_bytes,dst_host_diff_srv_rate,0.6218905472636815,0.6567164179104478,0.6318407960199005,0.63681592039801
122,flag,land,0.5970149253731343,0.6318407960199005,0.681592039800995,0.63681592039801
43,protocol_type,src_bytes,0.6368159203980099,0.6417910447761194,0.6318407960199005,0.63681592039801
124,flag,urgent,0.6915422885572139,0.6318407960199005,0.5870646766169154,0.6368159203980099
699,srv_count,dst_host_same_srv_rate,0.6865671641791045,0.6567164179104478,0.5671641791044776,0.6368159203980098
222,dst_bytes,dst_host_same_srv_rate,0.6467661691542289,0.6616915422885572,0.5970149253731343,0.6351575456053068
190,src_bytes,dst_host_serror_rate,0.6368159203980099,0.6268656716417911,0.6417910447761194,0.6351575456053068
106,service,same_srv_rate,0.6517412935323383,0.6268656716417911,0.6268656716417911,0.6351575456053068
739,srv_serror_rate,dst_host_srv_rerror_rate,0.6417910447761194,0.6467661691542289,0.6169154228855721,0.6351575456053068
416,logged_in,dst_host_srv_count,0.6218905472636815,0.6417910447761194,0.6417910447761194,0.6351575456053067
136,flag,is_host_login,0.6019900497512438,0.7014925373134329,0.5970149253731343,0.6334991708126037
98,service,is_host_login,0.6417910447761194,0.6417910447761194,0.6169154228855721,0.6334991708126037
166,src_bytes,root_shell,0.6119402985074627,0.6666666666666666,0.6218905472636815,0.6334991708126037
143,flag,srv_rerror_rate,0.6965174129353234,0.6517412935323383,0.5522388059701493,0.6334991708126037
